FF 142; FL 153; FR 158; LL 148; LL 142; EL     65554; ER        44;
FF 132; FL 158; FR 161; LL 142; LL 141; EL     65529; ER        90;
FF 136; FL 151; FR 151; LL 145; LL 135; EL     65526; ER       102;
FF 146; FL 160; FR 145; LL 150; LL 134; EL        11; ER        59;
FF 155; FL 155; FR 148; LL 149; LL 137; EL        46; ER        30;
FF 147; FL 156; FR 145; LL 157; LL 146; EL        85; ER     65540;
FF 154; FL 157; FR 135; LL 162; LL 142; EL        58; ER        41;
FF 159; FL 156; FR 128; LL 158; LL 152; EL        82; ER        67;
FF 160; FL 161; FR 125; LL 159; LL 149; EL        78; ER        84;
FF 159; FL 170; FR 129; LL 154; LL 152; EL       115; ER       113;
FF 154; FL 176; FR 134; LL 160; LL 146; EL       105; ER       159;
FF 152; FL 178; FR 128; LL 151; LL 150; EL        81; ER       113;
FF 149; FL 168; FR 125; LL 146; LL 159; EL        44; ER       160;
FF 146; FL 173; FR 132; LL 139; LL 167; EL        28; ER       204;
FF 140; FL 173; FR 130; LL 129; LL 162; EL     65555; ER       191;
FF 130; FL 163; FR 135; LL 135; LL 166; EL     65511; ER       144;
FF 134; FL 156; FR 127; LL 136; LL 171; EL     65521; ER       139;
FF 138; FL 160; FR 131; LL 139; LL 174; EL     65500; ER       153;
FF 148; FL 153; FR 128; LL 148; LL 170; EL     65460; ER       112;
FF 139; FL 161; FR 129; LL 149; LL 160; EL     65480; ER        72;
FF 141; FL 167; FR 135; LL 139; LL 166; EL     65442; ER        32;
FF 150; FL 166; FR 132; LL 141; LL 168; EL     65408; ER        34;
FF 140; FL 175; FR 133; LL 142; LL 159; EL     65445; ER         5;
FF 137; FL 178; FR 134; LL 151; LL 165; EL     65403; ER     65541;
FF 145; FL 179; FR 141; LL 142; LL 172; EL     65446; ER     65531;
FF 141; FL 185; FR 132; LL 132; LL 172; EL     65428; ER         7;
FF 141; FL 183; FR 133; LL 127; LL 175; EL     65475; ER        25;
FF 147; FL 179; FR 138; LL 118; LL 185; EL     65499; ER        15;
FF 139; FL 179; FR 128; LL 112; LL 183; EL     65471; ER        55;
FF 133; FL 175; FR 120; LL 108; LL 186; EL     65489; ER        89;
FF 142; FL 170; FR 113; LL 106; LL 186; EL     65483; ER       129;
FF 139; FL 165; FR 121; LL 106; LL 188; EL     65495; ER       143;
FF 135; FL 165; FR 123; LL 115; LL 182; EL     65523; ER       191;
FF 134; FL 173; FR 122; LL 121; LL 188; EL     65493; ER       219;
FF 140; FL 171; FR 128; LL 125; LL 198; EL     65493; ER       258;
FF 136; FL 174; FR 118; LL 126; LL 200; EL     65445; ER       261;
FF 131; FL 184; FR 110; LL 124; LL 203; EL     65491; ER       266;
FF 123; FL 189; FR 110; LL 116; LL 208; EL     65480; ER       217;
FF 127; FL 180; FR 108; LL 108; LL 215; EL     65460; ER       253;
FF 133; FL 172; FR  99; LL 111; LL 209; EL     65469; ER       236;
FF 137; FL 167; FR  91; LL 108; LL 201; EL     65496; ER       192;
FF 145; FL 169; FR  98; LL 118; LL 194; EL     65485; ER       199;
FF 138; FL 166; FR 105; LL 112; LL 186; EL     65462; ER       246;
FF 147; FL 166; FR 113; LL 113; LL 190; EL     65442; ER       201;
FF 142; FL 173; FR 106; LL 109; LL 188; EL     65424; ER       213;
FF 141; FL 183; FR 115; LL 116; LL 195; EL     65461; ER       176;
FF 133; FL 193; FR 118; LL 122; LL 189; EL     65455; ER       162;
FF 125; FL 187; FR 114; LL 128; LL 195; EL     65435; ER       169;
FF 134; FL 182; FR 114; LL 119; LL 197; EL     65474; ER       132;
FF 125; FL 181; FR 112; LL 125; LL 190; EL     65455; ER       106;
FF 125; FL 183; FR 102; LL 117; LL 193; EL     65412; ER        85;
FF 115; FL 185; FR 104; LL 124; LL 188; EL     65397; ER       110;
FF 125; FL 176; FR 108; LL 126; LL 196; EL     65423; ER        65;
FF 116; FL 171; FR 118; LL 133; LL 202; EL     65445; ER        54;
FF 123; FL 169; FR 118; LL 142; LL 195; EL     65403; ER        66;
FF 117; FL 163; FR 108; LL 144; LL 188; EL     65380; ER        74;
FF 118; FL 155; FR 111; LL 153; LL 184; EL     65411; ER        30;
FF 118; FL 151; FR 102; LL 146; LL 188; EL     65428; ER        31;
FF 108; FL 147; FR  99; LL 156; LL 190; EL     65460; ER     65548;
FF 116; FL 142; FR 102; LL 154; LL 198; EL     65421; ER     65506;
FF 114; FL 146; FR 105; LL 159; LL 199; EL     65440; ER        15;
FF 119; FL 150; FR  97; LL 157; LL 198; EL     65431; ER     65550;
FF 112; FL 142; FR  92; LL 165; LL 195; EL     65401; ER        41;
FF 112; FL 144; FR 102; LL 156; LL 191; EL     65407; ER        47;
FF 120; FL 146; FR  99; LL 159; LL 199; EL     65407; ER        43;
FF 115; FL 136; FR 109; LL 153; LL 189; EL     65426; ER        66;
FF 112; FL 130; FR 101; LL 144; LL 185; EL     65434; ER       108;
FF 112; FL 130; FR 109; LL 143; LL 178; EL     65454; ER        83;
FF 103; FL 137; FR 107; LL 136; LL 175; EL     65412; ER        51;
FF 110; FL 131; FR 104; LL 142; LL 178; EL     65420; ER        87;
FF 112; FL 140; FR 105; LL 134; LL 172; EL     65424; ER        41;
FF 122; FL 138; FR 114; LL 130; LL 166; EL     65454; ER     65545;
FF 131; FL 140; FR 108; LL 133; LL 162; EL     65470; ER        25;
FF 126; FL 135; FR 118; LL 130; LL 166; EL     65420; ER        69;
FF 120; FL 136; FR 108; LL 123; LL 165; EL     65391; ER        43;
FF 117; FL 142; FR 109; LL 116; LL 159; EL     65409; ER        12;
FF 119; FL 150; FR 113; LL 115; LL 154; EL     65437; ER     65565;
FF 127; FL 145; FR 118; LL 118; LL 154; EL     65453; ER     65535;
FF 132; FL 153; FR 116; LL 121; LL 153; EL     65436; ER     65530;
FF 142; FL 159; FR 121; LL 121; LL 155; EL     65430; ER     65524;
FF 142; FL 158; FR 116; LL 115; LL 145; EL     65460; ER     65489;
FF 152; FL 154; FR 115; LL 122; LL 154; EL     65456; ER     65491;
FF 144; FL 144; FR 120; LL 130; LL 163; EL     65417; ER     65462;
FF 152; FL 137; FR 119; LL 123; LL 163; EL     65423; ER     65445;
FF 145; FL 134; FR 127; LL 116; LL 173; EL     65437; ER     65482;
FF 146; FL 127; FR 130; LL 106; LL 177; EL     65406; ER     65530;
FF 140; FL 126; FR 127; LL  98; LL 178; EL     65437; ER     65534;
FF 146; FL 127; FR 121; LL  88; LL 183; EL     65473; ER         2;
FF 145; FL 117; FR 115; LL  93; LL 187; EL     65427; ER     65560;
FF 143; FL 127; FR 106; LL  98; LL 188; EL     65475; ER        61;
FF 137; FL 122; FR 102; LL 104; LL 178; EL     65431; ER        96;
FF 133; FL 118; FR 109; LL 112; LL 168; EL     65465; ER        65;
FF 128; FL 124; FR 118; LL 105; LL 173; EL     65435; ER        34;
FF 131; FL 123; FR 110; LL 103; LL 175; EL     65436; ER        42;
FF 131; FL 118; FR 103; LL 103; LL 182; EL     65443; ER        20;
FF 132; FL 125; FR 101; LL 109; LL 173; EL     65458; ER        66;
FF 122; FL 135; FR  96; LL 112; LL 175; EL     65409; ER        54;
FF 128; FL 139; FR  98; LL 104; LL 176; EL     65381; ER       104;
FF 124; FL 147; FR  97; LL  94; LL 186; EL     65382; ER        63;
FF 120; FL 139; FR 101; LL  90; LL 184; EL     65404; ER        93;
FF 115; FL 129; FR 101; LL  91; LL 190; EL     65390; ER        93;
FF 115; FL 129; FR 105; LL  91; LL 189; EL     65394; ER        88;
FF 105; FL 136; FR 110; LL  83; LL 194; EL     65344; ER        40;
FF  99; FL 142; FR 120; LL  93; LL 196; EL     65354; ER     65540;
FF 109; FL 147; FR 130; LL  83; LL 206; EL     65377; ER     65499;
FF 105; FL 155; FR 122; LL  76; LL 207; EL     65362; ER     65496;
FF 101; FL 164; FR 130; LL  86; LL 197; EL     65355; ER     65523;
FF 104; FL 173; FR 123; LL  80; LL 188; EL     65368; ER     65483;
FF 103; FL 171; FR 126; LL  86; LL 180; EL     65343; ER     65436;
FF  93; FL 163; FR 131; LL  81; LL 187; EL     65341; ER     65478;
FF  85; FL 153; FR 138; LL  88; LL 179; EL     65383; ER     65517;
FF  89; FL 147; FR 139; LL  90; LL 182; EL     65398; ER        18;
FF  96; FL 151; FR 131; LL  84; LL 179; EL     65391; ER         3;
FF 104; FL 145; FR 137; LL  92; LL 175; EL     65406; ER        47;
FF 110; FL 144; FR 130; LL  91; LL 175; EL     65365; ER        61;
FF 118; FL 140; FR 127; LL  98; LL 182; EL     65330; ER        81;
FF 115; FL 137; FR 121; LL  88; LL 173; EL     65307; ER        60;
FF 124; FL 137; FR 116; LL  93; LL 182; EL     65264; ER        53;
FF 116; FL 128; FR 117; LL 101; LL 179; EL     65270; ER        28;
FF 117; FL 121; FR 123; LL  91; LL 169; EL     65316; ER        50;
FF 112; FL 117; FR 118; LL  93; LL 169; EL     65290; ER        87;
FF 122; FL 118; FR 110; LL 101; LL 179; EL     65273; ER        39;
FF 124; FL 121; FR 108; LL  98; LL 174; EL     65306; ER     65540;
FF 116; FL 115; FR 111; LL 102; LL 183; EL     65299; ER        50;
FF 107; FL 107; FR 105; LL 109; LL 187; EL     65300; ER        14;
FF 110; FL 102; FR 115; LL 112; LL 184; EL     65286; ER        42;
FF 111; FL  97; FR 117; LL 121; LL 186; EL     65306; ER        52;
FF 101; FL 107; FR 126; LL 117; LL 177; EL     65320; ER        25;
FF 102; FL 106; FR 117; LL 114; LL 177; EL     65291; ER        69;
FF 111; FL 109; FR 113; LL 121; LL 171; EL     65315; ER        31;
FF 107; FL 119; FR 111; LL 112; LL 177; EL     65320; ER        69;
FF 104; FL 119; FR 108; LL 102; LL 177; EL     65310; ER        40;
FF 106; FL 109; FR  98; LL  97; LL 181; EL     65347; ER        51;
FF  97; FL 112; FR  97; LL  99; LL 174; EL     65301; ER        75;
FF  93; FL 113; FR 103; LL 108; LL 182; EL     65288; ER        33;
FF 100; FL 122; FR 107; LL 115; LL 186; EL     65291; ER        74;
FF 109; FL 124; FR 107; LL 117; LL 186; EL     65327; ER       119;
FF 119; FL 127; FR 101; LL 117; LL 190; EL     65304; ER       151;
FF 124; FL 132; FR 111; LL 121; LL 188; EL     65325; ER       102;
FF 134; FL 125; FR 116; LL 125; LL 183; EL     65363; ER        84;
FF 139; FL 134; FR 109; LL 129; LL 174; EL     65320; ER       101;
FF 147; FL 140; FR 108; LL 139; LL 177; EL     65287; ER       121;
FF 149; FL 143; FR 102; LL 142; LL 182; EL     65283; ER        75;
FF 155; FL 137; FR  93; LL 136; LL 189; EL     65314; ER        65;
FF 161; FL 128; FR  86; LL 132; LL 186; EL     65354; ER        34;
FF 171; FL 133; FR  85; LL 128; LL 193; EL     65367; ER        83;
FF 170; FL 131; FR  78; LL 127; LL 203; EL     65407; ER        86;
FF 172; FL 132; FR  69; LL 136; LL 210; EL     65457; ER        87;
FF 173; FL 125; FR  71; LL 126; LL 216; EL     65449; ER        64;
FF 182; FL 116; FR  64; LL 126; LL 207; EL     65446; ER        42;
FF 186; FL 118; FR  57; LL 135; LL 214; EL     65400; ER         8;
FF 176; FL 120; FR  54; LL 132; LL 207; EL     65354; ER     65538;
FF 182; FL 125; FR  52; LL 129; LL 215; EL     65403; ER     65501;
FF 180; FL 125; FR  49; LL 124; LL 219; EL     65365; ER         2;
FF 174; FL 115; FR  56; LL 130; LL 220; EL     65333; ER     65546;
FF 164; FL 123; FR  60; LL 124; LL 214; EL     65320; ER     65498;
FF 156; FL 128; FR  62; LL 115; LL 218; EL     65354; ER         4;
FF 158; FL 120; FR  57; LL 125; LL 210; EL     65333; ER        39;
FF 154; FL 119; FR  57; LL 132; LL 205; EL     65339; ER        29;
FF 164; FL 111; FR  55; LL 135; LL 214; EL     65321; ER         0;
FF 164; FL 118; FR  48; LL 142; LL 210; EL     65354; ER        26;
FF 170; FL 126; FR  50; LL 144; LL 220; EL     65321; ER     65541;
FF 167; FL 136; FR  45; LL 148; LL 220; EL     65346; ER        19;
FF 175; FL 135; FR  45; LL 152; LL 219; EL     65353; ER     65555;
FF 176; FL 138; FR  55; LL 159; LL 212; EL     65384; ER        11;
FF 174; FL 144; FR  57; LL 149; LL 216; EL     65357; ER     65571;
FF 167; FL 142; FR  49; LL 153; LL 220; EL     65364; ER        78;
FF 172; FL 152; FR  42; LL 152; LL 215; EL     65405; ER       121;
FF 162; FL 151; FR  50; LL 151; LL 220; EL     65390; ER        95;
FF 169; FL 142; FR  60; LL 153; LL 220; EL     65374; ER       131;
FF 159; FL 151; FR  63; LL 161; LL 220; EL     65385; ER       151;
FF 169; FL 150; FR  54; LL 156; LL 216; EL     65404; ER       156;
FF 177; FL 155; FR  61; LL 159; LL 218; EL     65409; ER       198;
FF 180; FL 159; FR  53; LL 163; LL 217; EL     65446; ER       195;
FF 189; FL 165; FR  48; LL 164; LL 207; EL     65486; ER       166;
FF 188; FL 162; FR  51; LL 167; LL 197; EL     65442; ER       136;
FF 184; FL 164; FR  45; LL 164; LL 190; EL     65472; ER        90;
FF 180; FL 157; FR  47; LL 155; LL 183; EL     65433; ER        78;
FF 186; FL 161; FR  50; LL 150; LL 180; EL     65467; ER       111;
FF 186; FL 168; FR  54; LL 146; LL 187; EL     65448; ER       118;
